Date,Province,District,Population,all cases,Severe cases/Deaths,all cases incidence,Severe cases/Deaths incidence
2020-01-01,East,Bugesera,499951,5893,9.0,11.787155141203838,0.018001764172888943
2020-02-01,East,Bugesera,499951,5268,9.0,10.537032629197661,0.018001764172888943
2020-03-01,East,Bugesera,499951,4196,7.0,8.392822496604667,0.014001372134469179
2020-04-01,East,Bugesera,499951,3964,6.0,7.928777020147975,0.012001176115259296
2020-05-01,East,Bugesera,499951,5818,13.0,11.637140439763096,0.02600254824972847
2020-06-01,East,Bugesera,499951,5954,11.0,11.90916709837564,0.022002156211308705
2020-07-01,East,Bugesera,499951,4458,15.0,8.916873853637656,0.030002940288148237
2020-08-01,East,Bugesera,499951,6127,21.0,12.25520100969895,0.04200411640340754
2020-09-01,East,Bugesera,499951,10902,28.0,21.80613700142614,0.056005488537876714
2020-10-01,East,Bugesera,499951,6953,,13.907362921566314,
2020-11-01,East,Bugesera,499951,8852,,17.70573516204588,
2020-12-01,East,Bugesera,499951,7748,,15.49751875683817,
2021-01-01,East,Bugesera,522112,14238,45.0,27.270011032115715,0.08618840402059329
2021-02-01,East,Bugesera,522112,10999,26.0,21.06636124050012,0.04979774454523167
2021-03-01,East,Bugesera,522112,12038,25.0,23.056355724442263,0.04788244667810738
2021-04-01,East,Bugesera,522112,16011,47.0,30.66583415052709,0.09001899975484187
2021-05-01,East,Bugesera,522112,21436,55.0,41.05632507967639,0.10534138269183624
2021-06-01,East,Bugesera,522112,9344,21.0,17.896543270409413,0.0402212552096102
2021-07-01,East,Bugesera,522112,6728,14.0,12.886124050012258,0.026814170139740134
2021-08-01,East,Bugesera,522112,6146,6.0,11.771420691345918,0.011491787202745771
2021-09-01,East,Bugesera,522112,5183,6.0,9.926988845305221,0.011491787202745771
2021-10-01,East,Bugesera,522112,5839,5.0,11.18342424613876,0.009576489335621476
2021-11-01,East,Bugesera,522112,7113,11.0,13.623513728855112,0.021068276538367247
2021-12-01,East,Bugesera,522112,4904,9.0,9.392620740377543,0.01723768080411866
2022-01-01,East,Bugesera,545643,4616,3.0,8.45974382517507,0.00549810040630962
2022-02-01,East,Bugesera,545643,3005,6.0,5.507263906986803,0.01099620081261924
2022-03-01,East,Bugesera,545643,3019,2.0,5.532921708882915,0.00366540027087308
2022-04-01,East,Bugesera,545643,4016,2.0,7.360123743913144,0.00366540027087308
2022-05-01,East,Bugesera,545643,4580,7.0,8.393766620299354,0.01282890094805578
2022-06-01,East,Bugesera,545643,4624,4.0,8.47440542625856,0.00733080054174616
2022-07-01,East,Bugesera,545643,3641,15.0,6.672861193124442,0.0274905020315481
2022-08-01,East,Bugesera,545643,3472,8.0,6.363134870235667,0.01466160108349232
2022-09-01,East,Bugesera,545643,4517,11.0,8.278306511766852,0.02015970148980194
2022-10-01,East,Bugesera,545643,4160,8.0,7.624032563416007,0.01466160108349232
2022-11-01,East,Bugesera,545643,3251,5.0,5.958108140304192,0.0091635006771827
2022-12-01,East,Bugesera,545643,3271,9.0,5.994762143012922,0.01649430121892886
2023-01-01,East,Bugesera,570650,2734,1.0,4.791027775343906,0.0017523876281433453
2023-02-01,East,Bugesera,570650,1958,4.0,3.43117497590467,0.007009550512573381
2023-03-01,East,Bugesera,570650,1287,2.0,2.255322877420485,0.0035047752562866906
2023-04-01,East,Bugesera,570650,1576,1.0,2.761762901953912,0.0017523876281433453
2023-05-01,East,Bugesera,570650,1855,4.0,3.2506790502059055,0.007009550512573381
2023-06-01,East,Bugesera,570650,2126,4.0,3.725576097432752,0.007009550512573381
2023-07-01,East,Bugesera,570650,1915,5.0,3.355822307894506,0.008761938140716727
2023-08-01,East,Bugesera,570650,2015,7.0,3.531061070708841,0.012266713397003417
2023-09-01,East,Bugesera,570650,2453,8.0,4.298606851835626,0.014019101025146762
2023-10-01,East,Bugesera,570650,9134,17.0,16.006308595461316,0.02979058967843687
