Date,Province,District,Sector,Population,Simple malaria cases,incidence
2020-01-01,Northern,Rulindo,Base,19847,14,0.7053962815538872
2020-02-01,Northern,Rulindo,Base,19847,17,0.8565526276011488
2020-03-01,Northern,Rulindo,Base,19847,7,0.3526981407769436
2020-04-01,Northern,Rulindo,Base,19847,6,0.30231269209452305
2020-05-01,Northern,Rulindo,Base,19847,1,0.050385448682420515
2020-06-01,Northern,Rulindo,Base,19847,5,0.2519272434121026
2020-07-01,Northern,Rulindo,Base,19847,10,0.5038544868242052
2020-08-01,Northern,Rulindo,Base,19847,4,0.20154179472968206
2020-09-01,Northern,Rulindo,Base,19847,2,0.10077089736484103
2020-10-01,Northern,Rulindo,Base,19847,0,0.0
2020-11-01,Northern,Rulindo,Base,19847,2,0.10077089736484103
2020-12-01,Northern,Rulindo,Base,19847,0,0.0
2021-01-01,Northern,Rulindo,Base,20185,9,0.4458756502353233
2021-02-01,Northern,Rulindo,Base,20185,3,0.14862521674510776
2021-03-01,Northern,Rulindo,Base,20185,2,0.09908347783007183
2021-04-01,Northern,Rulindo,Base,20185,0,0.0
2021-05-01,Northern,Rulindo,Base,20185,0,0.0
2021-06-01,Northern,Rulindo,Base,20185,6,0.2972504334902155
2021-07-01,Northern,Rulindo,Base,20185,3,0.14862521674510776
2021-08-01,Northern,Rulindo,Base,20185,2,0.09908347783007183
2021-09-01,Northern,Rulindo,Base,20185,2,0.09908347783007183
2021-10-01,Northern,Rulindo,Base,20185,4,0.19816695566014367
2021-11-01,Northern,Rulindo,Base,20185,6,0.2972504334902155
2021-12-01,Northern,Rulindo,Base,20185,3,0.14862521674510776
2022-01-01,Northern,Rulindo,Base,20528,0,0.0
2022-02-01,Northern,Rulindo,Base,20528,4,0.19485580670303976
2022-03-01,Northern,Rulindo,Base,20528,9,0.43842556508183944
2022-04-01,Northern,Rulindo,Base,20528,5,0.24356975837879968
2022-05-01,Northern,Rulindo,Base,20528,2,0.09742790335151988
2022-06-01,Northern,Rulindo,Base,20528,3,0.14614185502727983
2022-07-01,Northern,Rulindo,Base,20528,7,0.3409976617303196
2022-08-01,Northern,Rulindo,Base,20528,6,0.29228371005455966
2022-09-01,Northern,Rulindo,Base,20528,7,0.3409976617303196
2022-10-01,Northern,Rulindo,Base,20528,15,0.730709275136399
2022-11-01,Northern,Rulindo,Base,20528,15,0.730709275136399
2022-12-01,Northern,Rulindo,Base,20528,5,0.24356975837879968
2023-01-01,Northern,Rulindo,Base,20877,4,0.19159840973319922
2023-02-01,Northern,Rulindo,Base,20877,2,0.09579920486659961
2023-03-01,Northern,Rulindo,Base,20877,10,0.47899602433299804
2023-04-01,Northern,Rulindo,Base,20877,9,0.4310964218996982
2023-05-01,Northern,Rulindo,Base,20877,1,0.047899602433299805
2023-06-01,Northern,Rulindo,Base,20877,6,0.28739761459979885
2023-07-01,Northern,Rulindo,Base,20877,8,0.38319681946639844
2023-08-01,Northern,Rulindo,Base,20877,4,0.19159840973319922
2023-09-01,Northern,Rulindo,Base,20877,6,0.28739761459979885
2023-10-01,Northern,Rulindo,Base,20877,6,0.28739761459979885
2023-11-01,Northern,Rulindo,Base,20877,10,0.47899602433299804
2023-12-01,Northern,Rulindo,Base,20877,9,0.4310964218996982
2024-01-01,Northern,Rulindo,Base,21233,15,0.7064475109499364
2024-02-01,Northern,Rulindo,Base,21233,9,0.42386850656996183
2024-03-01,Northern,Rulindo,Base,21233,13,0.612254509489945
2024-04-01,Northern,Rulindo,Base,21233,5,0.2354825036499788
2024-05-01,Northern,Rulindo,Base,21233,4,0.18838600291998303
2024-06-01,Northern,Rulindo,Base,21233,13,0.612254509489945
2024-07-01,Northern,Rulindo,Base,21233,9,0.42386850656996183
2024-08-01,Northern,Rulindo,Base,21233,15,0.7064475109499364
2024-09-01,Northern,Rulindo,Base,21233,24,1.1303160175198983
2024-10-01,Northern,Rulindo,Base,21233,24,1.1303160175198983
2024-11-01,Northern,Rulindo,Base,21233,30,1.4128950218998728
2024-12-01,Northern,Rulindo,Base,21233,27,1.2716055197098854
2025-01-01,Northern,Rulindo,Base,21233,28,1.3187020204398814
2025-02-01,Northern,Rulindo,Base,21233,14,0.6593510102199407
2025-03-01,Northern,Rulindo,Base,21233,14,0.6593510102199407
2025-04-01,Northern,Rulindo,Base,21233,18,0.8477370131399237
2025-05-01,Northern,Rulindo,Base,21233,0,0.0
2020-01-01,Western,Nyabihu,Bigogwe,33864,20,0.5905976848570753
2020-02-01,Western,Nyabihu,Bigogwe,33864,20,0.5905976848570753
2020-03-01,Western,Nyabihu,Bigogwe,33864,9,0.2657689581856839
2020-04-01,Western,Nyabihu,Bigogwe,33864,7,0.20670918969997637
2020-05-01,Western,Nyabihu,Bigogwe,33864,1,0.029529884242853768
2020-06-01,Western,Nyabihu,Bigogwe,33864,2,0.059059768485707535
2020-07-01,Western,Nyabihu,Bigogwe,33864,1,0.029529884242853768
2020-08-01,Western,Nyabihu,Bigogwe,33864,6,0.17717930545712263
2020-09-01,Western,Nyabihu,Bigogwe,33864,3,0.08858965272856131
2020-10-01,Western,Nyabihu,Bigogwe,33864,0,0.0
2020-11-01,Western,Nyabihu,Bigogwe,33864,0,0.0
2020-12-01,Western,Nyabihu,Bigogwe,33864,0,0.0
2021-01-01,Western,Nyabihu,Bigogwe,34150,4,0.1171303074670571
2021-02-01,Western,Nyabihu,Bigogwe,34150,2,0.05856515373352855
2021-03-01,Western,Nyabihu,Bigogwe,34150,3,0.08784773060029283
2021-04-01,Western,Nyabihu,Bigogwe,34150,3,0.08784773060029283
2021-05-01,Western,Nyabihu,Bigogwe,34150,3,0.08784773060029283
2021-06-01,Western,Nyabihu,Bigogwe,34150,2,0.05856515373352855
2021-07-01,Western,Nyabihu,Bigogwe,34150,0,0.0
2021-08-01,Western,Nyabihu,Bigogwe,34150,2,0.05856515373352855
2021-09-01,Western,Nyabihu,Bigogwe,34150,4,0.1171303074670571
2021-10-01,Western,Nyabihu,Bigogwe,34150,11,0.322108345534407
2021-11-01,Western,Nyabihu,Bigogwe,34150,8,0.2342606149341142
2021-12-01,Western,Nyabihu,Bigogwe,34150,3,0.08784773060029283
2022-01-01,Western,Nyabihu,Bigogwe,34439,2,0.058073695519614395
2022-02-01,Western,Nyabihu,Bigogwe,34439,3,0.08711054327942158
2022-03-01,Western,Nyabihu,Bigogwe,34439,2,0.058073695519614395
